id,year,year_treated,time_to_treatment,treated,y
E06000031,2021,2017,4,1,35.4
E06000031,2022,2017,5,1,35.7
E06000032,2004,1000,-1000,0,23.9
E06000032,2005,1000,-1000,0,23.9
E06000032,2006,1000,-1000,0,25.1
E06000032,2007,1000,-1000,0,26.2
E06000032,2008,1000,-1000,0,27.3
E06000032,2009,1000,-1000,0,28
E06000032,2010,1000,-1000,0,28.8
E06000032,2011,1000,-1000,0,29.7
E06000032,2012,1000,-1000,0,30.9
E06000032,2013,1000,-1000,0,31.8
E06000032,2014,1000,-1000,0,32.7
E06000032,2015,1000,-1000,0,33.4
E06000032,2016,1000,-1000,0,34
E06000032,2017,1000,-1000,0,34.6
E06000032,2018,1000,-1000,0,35
E06000032,2019,1000,-1000,0,35.2
E06000032,2020,1000,-1000,0,35.3
E06000032,2021,1000,-1000,0,35.4
E06000032,2022,1000,-1000,0,35.5
E06000033,2004,1000,-1000,0,19.1
E06000033,2005,1000,-1000,0,19.1
E06000033,2006,1000,-1000,0,20.1
E06000033,2007,1000,-1000,0,20.9
E06000033,2008,1000,-1000,0,21.9
E06000033,2009,1000,-1000,0,22.6
E06000033,2010,1000,-1000,0,23.1
E06000033,2011,1000,-1000,0,23.2
E06000033,2012,1000,-1000,0,23.1
E06000033,2013,1000,-1000,0,23.1
E06000033,2014,1000,-1000,0,23.9
E06000033,2015,1000,-1000,0,25
E06000033,2016,1000,-1000,0,26.2
E06000033,2017,1000,-1000,0,26.4
E06000033,2018,1000,-1000,0,26.1
E06000033,2019,1000,-1000,0,25.8
E06000033,2020,1000,-1000,0,26.4
E06000033,2021,1000,-1000,0,27.5
E06000033,2022,1000,-1000,0,28.5
E06000034,2004,1000,-1000,0,27
E06000034,2005,1000,-1000,0,26.8
E06000034,2006,1000,-1000,0,28.5
E06000034,2007,1000,-1000,0,29.1
E06000034,2008,1000,-1000,0,29.5
E06000034,2009,1000,-1000,0,29.5
E06000034,2010,1000,-1000,0,29.8
E06000034,2011,1000,-1000,0,29.8
E06000034,2012,1000,-1000,0,29.9
E06000034,2013,1000,-1000,0,29.9
E06000034,2014,1000,-1000,0,30.3
E06000034,2015,1000,-1000,0,31.2
E06000034,2016,1000,-1000,0,32.4
E06000034,2017,1000,-1000,0,33.9
E06000034,2018,1000,-1000,0,35
E06000034,2019,1000,-1000,0,36.1
E06000034,2020,1000,-1000,0,36.5
E06000034,2021,1000,-1000,0,36.7
E06000034,2022,1000,-1000,0,36.6
E06000035,2004,1000,-1000,0,23.4
E06000035,2005,1000,-1000,0,23.3
E06000035,2006,1000,-1000,0,25.1
E06000035,2007,1000,-1000,0,26.6
E06000035,2008,1000,-1000,0,28
E06000035,2009,1000,-1000,0,29.1
E06000035,2010,1000,-1000,0,29.2
E06000035,2011,1000,-1000,0,29.4
E06000035,2012,1000,-1000,0,29.4
E06000035,2013,1000,-1000,0,30.4
